seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
740,ketoBig,9739,58,28,budget,2,100,true,4,1080,137,214,0.46551724137931033,0.1896551724137931,0.15517241379310345,0.017241379310344827,0.1724137931034483,13,2,normal,false,16,23,1359,2260,960,1260,3900,false,true,true,3780,10,5959,48,2,4|3
741,ketoBig,5005,32,2,budget,0,73,false,7,1390,96,125,0,0.96875,0.03125,0,0,1,16,normal,false,5,13,0,4825,180,0,0,false,false,true,0,0,5005,32,0,
742,ketoBig,7215,32,2,budget,0,71,true,6,1760,115,182,0.0625,0.9375,0,0,0,3,6,normal,false,7,12,120,6915,180,0,0,false,false,false,0,0,7215,32,0,
743,ketoBig,4181,32,2,budget,0,80,true,5,600,95,148,0.21875,0.78125,0,0,0,4,4,normal,false,3,16,821,3180,180,0,0,false,false,true,0,0,4181,32,0,
744,ketoBig,3290,32,2,budget,0,73,true,4,510,82,115,0.03125,0.9375,0.03125,0,0,2,8,normal,false,5,14,15,3095,180,0,0,false,false,true,0,0,3290,32,0,
745,ketoBig,3275,30,0,budget,0,63,false,4,405,86,109,0,1,0,0,0,0,-1,normal,false,6,8,0,3275,0,0,0,false,false,false,0,0,3275,30,0,
746,ketoBig,4035,30,0,budget,0,65,true,5,825,82,133,0.1,0.9,0,0,0,1,20,crash,false,5,10,115,3920,0,0,0,false,false,true,0,0,4035,30,0,
747,ketoBig,5030,48,18,budget,0,95,false,3,570,100,132,0,0.8125,0.14583333333333334,0.041666666666666664,0,8,2,normal,false,10,21,0,2115,2600,315,0,true,true,true,0,0,5030,48,0,
748,ketoBig,4598,32,2,budget,0,73,true,5,1335,83,148,0.28125,0.6875,0.03125,0,0,6,2,normal,false,4,16,528,3860,210,0,0,false,false,true,0,0,4598,32,0,
749,ketoBig,13613,56,26,budget,2,100,true,5,2670,151,214,0.10714285714285714,0.5178571428571429,0.14285714285714285,0.05357142857142857,0.17857142857142858,12,3,normal,false,12,19,328,3150,1120,4995,4020,false,false,false,5565,10,8048,46,2,2|4
750,ketoBig,5510,42,12,budget,0,83,false,5,1440,93,134,0,0.8809523809523809,0.11904761904761904,0,0,6,2,normal,false,6,17,0,2690,2820,0,0,false,false,true,0,0,5510,42,0,
751,ketoBig,3513,30,0,budget,0,62,true,4,420,75,131,0.16666666666666666,0.8333333333333334,0,0,0,3,8,normal,false,2,17,488,3025,0,0,0,false,false,true,0,0,3513,30,0,
752,ketoBig,23248,73,43,budget,3,100,true,4,2040,215,340,0.0958904109589041,0.4383561643835616,0.1780821917808219,0.0821917808219178,0.2054794520547945,18,2,normal,false,7,40,533,3795,3790,3330,11800,false,true,true,11600,15,11648,58,3,9|4|2
753,ketoBig,6135,46,16,budget,0,98,true,4,860,119,166,0.08695652173913043,0.6739130434782609,0.17391304347826086,0.06521739130434782,0,10,7,normal,false,5,29,190,3360,1730,855,0,true,true,false,0,0,6135,46,0,
754,ketoBig,6094,41,11,budget,1,100,true,3,1080,114,166,0.21951219512195122,0.5609756097560976,0.04878048780487805,0.04878048780487805,0.12195121951219512,7,2,normal,false,6,18,499,3035,490,270,1800,false,true,true,1650,5,4444,36,1,4
755,ketoBig,13195,64,34,budget,2,100,true,3,1560,160,247,0.015625,0.484375,0.234375,0.109375,0.15625,15,8,normal,false,4,36,30,3720,2530,1575,5340,false,true,false,4020,10,9175,54,2,4|4
756,ketoBig,24650,69,39,budget,3,100,true,5,3240,237,355,0.028985507246376812,0.5507246376811594,0.13043478260869565,0.07246376811594203,0.21739130434782608,14,19,normal,false,4,43,75,5965,3210,2700,12700,false,true,false,11790,15,12860,54,3,3|4|4
