seed,bot,score,moves,movesEarned,endReason,frenzies,peakMeter,crashed,maxCombo,bestMovePts,proteinTiles,carbTiles,pctCrash,pctNormal,pctKeto,pctDeep,pctFrenzy,tierUpsSeen,firstTierUpMove,endState,endedWithin5OfFrenzy,longestDryGap,rewardEvents,ptsCrash,ptsNormal,ptsKeto,ptsDeep,ptsFrenzy,nearMissNoFrenzy,fellBackWithoutFrenzy,lastMoveWasReward,ptsInFrenzy,movesInFrenzy,ptsOutside,movesOutside,climbCount,climbLengths
1057,lookahead,15805,66,36,budget,2,100,true,5,1330,199,254,0.030303030303030304,0.5454545454545454,0.19696969696969696,0.07575757575757576,0.15151515151515152,13,3,crash,false,10,30,145,4860,4030,3150,3620,false,false,true,3280,10,12525,56,2,10|3
1058,lookahead,28695,70,40,budget,2,100,true,7,6180,227,361,0.08571428571428572,0.5857142857142857,0.15714285714285714,0.02857142857142857,0.14285714285714285,19,10,normal,false,5,37,300,7300,2720,5175,13200,false,true,true,13650,10,15045,60,2,3|5
1059,lookahead,12305,62,32,budget,0,94,true,5,1115,187,273,0,0.7903225806451613,0.1935483870967742,0.016129032258064516,0,14,11,normal,false,6,31,60,7605,3560,1080,0,true,false,false,0,0,12305,62,0,
1060,lookahead,3659,30,0,budget,0,62,true,4,525,77,131,0.23333333333333334,0.7666666666666667,0,0,0,5,6,normal,false,3,18,629,3030,0,0,0,false,false,true,0,0,3659,30,0,
1061,lookahead,4226,30,0,budget,0,58,true,5,675,83,131,0.16666666666666666,0.8333333333333334,0,0,0,3,14,normal,false,6,12,546,3680,0,0,0,false,false,false,0,0,4226,30,0,
1062,lookahead,6200,30,0,budget,0,65,true,4,645,107,168,0,1,0,0,0,0,-1,normal,false,4,13,160,6040,0,0,0,false,false,false,0,0,6200,30,0,
1063,lookahead,4265,30,0,budget,0,64,true,5,555,80,141,0.03333333333333333,0.9666666666666667,0,0,0,1,8,normal,false,8,10,15,4250,0,0,0,false,false,true,0,0,4265,30,0,
1064,lookahead,25880,86,56,budget,2,100,true,6,1920,311,442,0.011627906976744186,0.6976744186046512,0.13953488372093023,0.03488372093023256,0.11627906976744186,21,9,crash,false,6,49,0,12290,4660,2250,6680,false,true,false,6410,10,19470,76,2,5|3
1065,lookahead,6460,36,6,budget,0,77,true,5,895,114,157,0.027777777777777776,0.9722222222222222,0,0,0,4,2,normal,false,6,14,55,6045,360,0,0,false,false,false,0,0,6460,36,0,
1066,lookahead,4235,32,2,budget,0,73,false,4,660,73,113,0,1,0,0,0,1,2,normal,false,11,11,0,3605,630,0,0,false,false,true,0,0,4235,32,0,
1067,lookahead,8606,44,14,budget,0,92,true,5,1320,127,201,0.045454545454545456,0.8181818181818182,0.11363636363636363,0.022727272727272728,0,7,9,normal,false,7,18,226,5170,2400,810,0,true,false,false,0,0,8606,44,0,
1068,lookahead,57498,143,113,budget,7,100,true,6,3400,424,594,0.013986013986013986,0.4125874125874126,0.2727272727272727,0.055944055944055944,0.24475524475524477,39,4,normal,false,6,81,58,4690,13480,6390,32880,false,true,false,31860,35,25638,108,7,9|3|6|2|2|3|4
1069,lookahead,43498,99,69,budget,5,100,true,8,3260,319,459,0.010101010101010102,0.5151515151515151,0.1717171717171717,0.050505050505050504,0.25252525252525254,20,2,crash,false,9,66,253,8170,7790,2985,24300,false,true,true,24300,25,19198,74,4,6|5|2|2
1070,lookahead,8020,34,4,budget,0,80,true,9,2075,114,176,0.029411764705882353,0.9705882352941176,0,0,0,3,9,normal,false,8,14,15,7195,810,0,0,false,false,true,0,0,8020,34,0,
1071,lookahead,1365,18,4,lock,0,78,false,3,240,33,45,0,0.9444444444444444,0.05555555555555555,0,0,2,3,normal,false,4,6,0,1275,90,0,0,false,false,false,0,0,1365,18,0,
1072,lookahead,8196,40,10,budget,0,95,true,6,2050,101,170,0.125,0.675,0.175,0.025,0,6,1,normal,false,6,15,391,4270,3400,135,0,true,true,true,0,0,8196,40,0,
1073,lookahead,64018,141,111,budget,7,100,true,6,4620,464,719,0.014184397163120567,0.48226950354609927,0.2198581560283688,0.03546099290780142,0.24822695035460993,34,1,normal,false,8,82,98,11095,9760,8385,34680,false,true,false,27070,35,36948,106,6,4|3|5|2|2|2
1074,lookahead,41098,116,86,budget,4,100,true,6,4355,357,520,0.008620689655172414,0.45689655172413796,0.2672413793103448,0.09482758620689655,0.1724137931034483,28,1,normal,false,6,60,143,7360,7660,11955,13980,false,true,false,13755,20,27343,96,4,2|10|2|3
1075,lookahead,3141,30,0,budget,0,58,true,3,495,73,142,0.4666666666666667,0.5333333333333333,0,0,0,3,6,normal,false,4,11,1031,2110,0,0,0,false,false,true,0,0,3141,30,0,
1076,lookahead,25425,66,36,budget,2,100,false,7,5100,225,324,0,0.6363636363636364,0.16666666666666666,0.045454545454545456,0.15151515151515152,14,3,normal,false,7,35,0,6590,3410,1245,14180,false,false,false,13360,10,12065,56,2,4|5
1077,lookahead,59640,166,136,budget,8,100,true,7,2720,544,760,0.012048192771084338,0.39759036144578314,0.28313253012048195,0.06626506024096386,0.24096385542168675,46,2,normal,false,6,101,165,11300,15320,8295,24560,false,true,true,23340,40,36300,126,7,6|3|4|4|2|7|5
1078,lookahead,14475,59,29,budget,1,100,true,5,1060,169,253,0.05084745762711865,0.711864406779661,0.13559322033898305,0.01694915254237288,0.0847457627118644,15,3,normal,false,5,31,115,5305,3580,2115,3360,false,true,false,2640,5,11835,54,1,5
1079,lookahead,27100,87,57,budget,3,100,true,4,2180,285,373,0.011494252873563218,0.5402298850574713,0.26436781609195403,0.011494252873563218,0.1724137931034483,21,9,normal,false,6,48,30,5905,7620,2925,10620,false,false,false,9260,15,17840,72,3,4|3|2
1080,lookahead,7299,36,6,budget,0,81,true,5,1050,105,189,0.19444444444444445,0.7222222222222222,0.08333333333333333,0,0,5,3,normal,false,3,18,624,5025,1650,0,0,false,false,false,0,0,7299,36,0,
